"Event Date","Transaction ID","Transaction Date","Event Name","App Name","Platform","App ID","Product ID","Subscription Group","Currency","Price","Proceeds","Price USD","Proceeds USD","Refund","Q User ID","User ID","Device","Device ID","Local","Country","OS Version","Install Date","Media source","Campaign","Ad Set","Ad","App version","SDK version","User properties","Event receive date"
"2026-04-01 15:04:31","360002454729606","2025-07-03 20:57:31","Subscription Canceled","AR Draw_iOS","iOS","6504559449","ar_drawing_year_discount_50","21508264","USD","27.99","19.59","27.99","19.59","","QON_848eb59fa23748718a12448946f8a2da","","iPhone 12","4D2443CF-D63B-49B9-BCE9-31B62EAE6110","en","US","iOS 16.1.1","2025-07-03 20:54:07","","","","","4.1.20250624","5.13.0","{""_q_appsflyer_user_id"":""1751576046511-4244363"",""_q_fb_anon_id"":""XZCFAD00F6-F332-4217-899A-DE181E0F67CC"",""_q_firebase_instance_id"":""D770BA44827C4B5CAABBC38EA8F96264""}","2026-04-01 15:04:32"
"2026-03-25 13:02:21","240002118917813","2025-08-09 13:52:59","Subscription Canceled","AR Draw_iOS","iOS","6504559449","ar_drawing_year_discount_50","21508264","USD","55.99","39.19","55.99","39.19","","QON_693754e1816349f8be385835355fffae","","iPhone15,4","D3E245CA-AF0C-4E51-9D1B-BC5B81737FED","en","US","iOS 18.5","2025-08-09 13:51:24","","","","","4.1.20250718","5.13.0","{""_q_appsflyer_user_id"":""1754747483517-3245045"",""_q_fb_anon_id"":""XZF74B151F-1E2F-4EB6-83D9-AE3BF9D886DC"",""_q_firebase_instance_id"":""110C230B11B841798CF7C1087D05AF3A""}","2026-03-25 13:02:22"
"2026-03-31 00:02:49","360002547364725","2025-09-04 22:25:15","Refund Consumption","AR Draw_iOS","iOS","6504559449","weekly_premium_trial","21508264","USD","24.9899","17.4899","24.9899","17.4899","","QON_72a0447507274838af2386e443ff3f90","","iPhone16,2","65BD8D98-0CA4-4CA6-BEA3-355033353622","es","US","iOS 18.5","2025-06-20 03:34:23","","","","","4.1.20250618","5.13.0","{""_q_appsflyer_user_id"":""1750390462896-6589804"",""_q_fb_anon_id"":""XZCE543F61-AEB9-4832-831E-53CE918731B5""}","2026-03-31 00:02:51"
"2026-04-03 14:21:30","490002384721326","2025-09-18 18:21:42","Subscription Canceled","AR Draw_iOS","iOS","6504559449","ar_drawing_year_discount_50","21508264","USD","55.99","39.19","55.99","39.19","","QON_6dba6c7011674199aed7430406832d76","","iPhone14,5","388ABB6A-5981-4AC5-B45F-ABB21C01A06C","en","US","iOS 18.2.1","2025-09-18 18:12:39","","","","","4.2.20250916","5.13.0","{""_q_advertising_id"":""FDBD3707-553F-4174-86FB-CE422341D998"",""_q_appsflyer_user_id"":""1758219159347-3886598"",""_q_fb_anon_id"":""XZE431D49E-9C84-4934-9EC7-22636E3DA1C1"",""_q_firebase_instance_id"":""02C06EA1BA074A9B83E627F0DB34D539""}","2026-04-03 14:21:33"
"2026-04-01 02:09:21","510002201681155","2025-09-19 22:01:27","Subscription Canceled","AR Draw_iOS","iOS","6504559449","ar_drawing_year_discount_50","21508264","USD","27.99","19.59","27.99","19.59","","QON_a0dd4ddba7a6419d8488e7e1954873d3","","iPhone17,5","7C5F6E99-3D05-46F9-B53A-68EBBCD76C95","en","US","iOS 18.6.2","2025-09-19 21:53:32","","","","","4.2.20250916","5.13.0","{""_q_appsflyer_user_id"":""1758318811938-7569930"",""_q_fb_anon_id"":""XZF50BE9D4-6506-4908-81F9-E3FCE3F0C6CA"",""_q_firebase_instance_id"":""7EB99B84CB964C789B9C460F5B7AFFB6""}","2026-04-01 02:09:22"
"2026-04-09 22:56:13","230002821686146","2025-09-21 07:00:39","Subscription Canceled","AR Draw_iOS","iOS","6504559449","ar_drawing_year_discount_50","21508264","SAR","249.99","174.99","66.66","46.6599","","QON_1217c30785414d1fb130e3ae04a9c62b","","iPhone15,2","C88D1649-BCC3-4C23-A1D2-81BE82D1788D","ar","SA","iOS 18.5","2025-09-21 06:53:26","","","","","4.3.20250919","5.13.0","{""_q_appsflyer_user_id"":""1758437605764-8816493"",""_q_fb_anon_id"":""XZC0E48A55-22EB-4C85-B796-4F7C9D175650"",""_q_firebase_instance_id"":""0FE1CC89C7B04A848624192C20E66ADE""}","2026-04-09 22:56:15"
"2026-04-14 23:34:56","510002204125310","2025-09-22 04:14:37","Refund Consumption","AR Draw_iOS","iOS","6504559449","weekly_premium_trial","21508264","USD","24.9899","17.4899","24.9899","17.4899","","QON_66625783b4fe4b69a5d32348a1b3f765","","iPhone14,7","5CB2882B-3374-4F28-B89F-B0EDC63324F5","en","US","iOS 18.6.2","2025-09-19 00:39:48","","","","","4.2.20250916","5.13.0","{""_q_advertising_id"":""E408F5D7-8242-4C3E-9F50-EBDA12877052"",""_q_appsflyer_user_id"":""1758242388206-5288233"",""_q_fb_anon_id"":""XZ03361BA7-AD3C-4344-B3C6-7005A15F03CA"",""_q_firebase_instance_id"":""5327246D63184F9ABA7D49A3C0DEDA26""}","2026-04-14 23:34:58"
"2026-03-31 00:02:49","360002577117575","2025-09-25 22:25:15","Refund Consumption","AR Draw_iOS","iOS","6504559449","weekly_premium_trial","21508264","USD","24.9899","17.4899","24.9899","17.4899","","QON_72a0447507274838af2386e443ff3f90","","iPhone16,2","65BD8D98-0CA4-4CA6-BEA3-355033353622","es","US","iOS 18.5","2025-06-20 03:34:23","","","","","4.1.20250618","5.13.0","{""_q_appsflyer_user_id"":""1750390462896-6589804"",""_q_fb_anon_id"":""XZCE543F61-AEB9-4832-831E-53CE918731B5""}","2026-03-31 00:02:52"
"2026-03-24 21:12:47","550002467985268","2025-09-26 18:18:59","Subscription Canceled","AR Draw_iOS","iOS","6504559449","ar_drawing_year_discount_50","21508264","USD","55.99","39.19","55.99","39.19","","QON_cb8ea401d1f64fb2a7a39974cd562cfe","","iPhone 12 Pro Max","579E1674-967D-49F5-BB2D-992EFC11E2EA","es","MX","iOS 18.6.2","2025-09-16 02:55:38","","","","","4.2.20250818","5.13.0","{""_q_appsflyer_user_id"":""1757991338125-5791674"",""_q_fb_anon_id"":""XZDC6FEB3D-4673-4264-8F6B-D85535B54DA1"",""_q_firebase_instance_id"":""DB00AB0817C94976886567BBA8CED5E5""}","2026-03-24 21:12:49"
"2026-04-14 23:32:10","510002212399769","2025-09-29 04:14:37","Refund Consumption","AR Draw_iOS","iOS","6504559449","weekly_premium_trial","21508264","USD","24.9899","17.4899","24.9899","17.4899","","QON_66625783b4fe4b69a5d32348a1b3f765","","iPhone14,7","5CB2882B-3374-4F28-B89F-B0EDC63324F5","en","US","iOS 18.6.2","2025-09-19 00:39:48","","","","","4.2.20250916","5.13.0","{""_q_advertising_id"":""E408F5D7-8242-4C3E-9F50-EBDA12877052"",""_q_appsflyer_user_id"":""1758242388206-5288233"",""_q_fb_anon_id"":""XZ03361BA7-AD3C-4344-B3C6-7005A15F03CA"",""_q_firebase_instance_id"":""5327246D63184F9ABA7D49A3C0DEDA26""}","2026-04-14 23:32:11"
