"id","job_id","display_name","cron_expression","time_zone_id","enabled","sort_order","created_at","updated_at","job_type_name","job_method_name","manual_run_json"
48,appmetrica-game-silver-gold,AppMetrica Game Silver/Gold (StarRocks),"40 1/4 * * *",UTC,true,111,2026-03-22 21:48:05.470 +0700,2026-05-18 13:42:45.396 +0700,"MediationPro.Jobs.AppMetricaGameAnalyticsTransformJob, MediationPro.Jobs",RunTransformAsync,""
76,bod-weekly-portfolio-aggregate-job,BOD Weekly Portfolio Aggregate,"0 8 * * 1",UTC,false,112,2026-05-08 16:47:09.424 +0700,2026-05-19 18:58:15.599 +0700,"MediationPro.Infrastructure.Services.AiAgents.BodPortfolioAggregator, MediationPro.Infrastructure",AggregateWeeklyAsync,""
95,firebase-event-flat-daily,Firebase Event Flat Daily (T-1),"0 7 * * *",UTC,true,89,2026-05-19 10:17:42.742 +0700,2026-05-20 10:52:56.739 +0700,"MediationPro.Jobs.FirebaseEventFlatJob, MediationPro.Jobs",FlattenYesterdayAsync,""
88,performance-sync-mediation-today,Performance Sync — AdMob mediation_table + APP_VERSION (Today),"25 0/4 * * *",UTC,true,33,2026-05-12 17:52:30.464 +0700,2026-05-16 08:50:48.690 +0700,"MediationPro.Jobs.PerformanceMediationReportFullSyncJob, MediationPro.Jobs",SyncTodayAsync,"{""queryParams"": [{""key"": ""startDate"", ""inputType"": ""date"", ""isRequired"": false}, {""key"": ""endDate"", ""inputType"": ""date"", ""isRequired"": false}], ""useAsyncRun"": false}"
89,performance-sync-mediation-recent,Performance Sync — AdMob mediation_table + APP_VERSION (Last 3 Days),"20 */12 * * *",UTC,true,35,2026-05-12 17:52:30.464 +0700,2026-05-16 08:50:48.690 +0700,"MediationPro.Jobs.PerformanceMediationReportFullSyncJob, MediationPro.Jobs",SyncLast3DaysAsync,"{""queryParams"": [{""key"": ""startDate"", ""inputType"": ""date"", ""isRequired"": false}, {""key"": ""endDate"", ""inputType"": ""date"", ""isRequired"": false}], ""useAsyncRun"": false}"
92,appmetrica-logs-backfill-t1,"AppMetrica Logs Backfill (T-1, windowed day)","0 0,12 * * *",UTC,true,107,2026-05-18 13:42:45.396 +0700,2026-05-18 13:42:45.396 +0700,"MediationPro.Jobs.AppMetricaSyncJob, MediationPro.Jobs",SyncLogsBackfillT1Async,""
93,appmetrica-logs-backfill-t2,"AppMetrica Logs Backfill (T-2, windowed day)","0 4,16 * * *",UTC,true,108,2026-05-18 13:42:45.396 +0700,2026-05-18 13:42:45.396 +0700,"MediationPro.Jobs.AppMetricaSyncJob, MediationPro.Jobs",SyncLogsBackfillT2Async,""
94,appmetrica-logs-backfill-t3,"AppMetrica Logs Backfill (T-3, windowed day)","0 8,20 * * *",UTC,true,109,2026-05-18 13:42:45.396 +0700,2026-05-18 13:42:45.396 +0700,"MediationPro.Jobs.AppMetricaSyncJob, MediationPro.Jobs",SyncLogsBackfillT3Async,""
96,calculate-app-revenue-hourly,Calculate App Revenue Hourly,"0 * * * *",UTC,true,39,2026-05-20 12:56:03.511 +0700,2026-05-20 12:56:03.511 +0700,"MediationPro.Jobs.CalculateAppRevenueHourlyJob, MediationPro.Jobs",RunAsync,""
97,po-daily-digest-job,PO Daily Digest (T-1),"45 6 * * *",UTC,true,113,2026-05-20 12:56:46.179 +0700,2026-05-20 12:56:46.179 +0700,"MediationPro.Jobs.ProductOwnerDailyDigestJob, MediationPro.Jobs",GenerateAsync,""
